Firstname,Lastname,Gender,Birth_Date,Birth_Country,Birth_City,Birth_Country_Code,Death_Date,Death_Country,Death_City,Death_Country_Code,Organization_Name,Organization_City,Organization_Country,Year,Category,Prize_Share,Motivation,Birth_Year,Age
Wilhelm Conrad,Röntgen,male,1845-03-27,Prussia (now Germany),Lennep (now Remscheid),DE,10/02/1923,Germany,Munich,DE,Munich University,Munich,Germany,1901,physics,1,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""",1845.0,56.0
Emil,von Behring,male,1854-03-15,Prussia (now Poland),Hansdorf (now Lawice),PL,31/03/1917,Germany,Marburg,DE,Marburg University,Marburg,Germany,1901,medicine,1,"""for his work on serum therapy especially its application against diphtheria by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths""",1854.0,47.0
Henry,Dunant,male,1828-05-08,Switzerland,Geneva,CH,30/10/1910,Switzerland,Heiden,CH,,,,1901,peace,2,"""for his humanitarian efforts to help wounded soldiers and create international understanding""",1828.0,73.0
Frédéric,Passy,male,1822-05-20,France,Paris,FR,12/06/1912,France,Paris,FR,,,,1901,peace,2,"""for his lifelong work for international peace conferences diplomacy and arbitration""",1822.0,79.0
Sully,Prudhomme,male,1839-03-16,France,Paris,FR,07/09/1907,France,Châtenay,FR,,,,1901,literature,1,"""in special recognition of his poetic composition which gives evidence of lofty idealism artistic perfection and a rare combination of the qualities of both heart and intellect""",1839.0,62.0
Jacobus H.,van 't Hoff,male,1852-08-30,the Netherlands,Rotterdam,NL,01/03/1911,Germany,Berlin,DE,Berlin University,Berlin,Germany,1901,chemistry,1,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions""",1852.0,49.0
Emil,Fischer,male,1852-10-09,Prussia (now Germany),Euskirchen,DE,15/07/1919,Germany,Berlin,DE,Berlin University,Berlin,Germany,1902,chemistry,1,"""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses""",1852.0,50.0
Theodor,Mommsen,male,1817-11-30,Schleswig (now Germany),Garding,DE,01/11/1903,Germany,Charlottenburg,DE,,,,1902,literature,1,"""the greatest living master of the art of historical writing with special reference to his monumental work <I>A history of Rome</I>""",1817.0,85.0
Albert,Gobat,male,1843-05-21,Switzerland,Tramelan,CH,16/03/1914,Switzerland,Bern,CH,,,,1902,peace,2,"""for his eminently practical administration of the Inter-Parliamentary Union""",1843.0,59.0
Élie,Ducommun,male,1833-02-19,Switzerland,Geneva,CH,07/12/1906,Switzerland,Bern,CH,,,,1902,peace,2,"""for his untiring and skilful directorship of the Bern Peace Bureau""",1833.0,69.0
