Category,Motivation,clean
physics,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""",in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him
medicine,"""for his work on serum therapy especially its application against diphtheria by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths""",for his work on serum therapy especially its application against diphtheria by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths
peace,"""for his humanitarian efforts to help wounded soldiers and create international understanding""",for his humanitarian efforts to help wounded soldiers and create international understanding
peace,"""for his lifelong work for international peace conferences diplomacy and arbitration""",for his lifelong work for international peace conferences diplomacy and arbitration
literature,"""in special recognition of his poetic composition which gives evidence of lofty idealism artistic perfection and a rare combination of the qualities of both heart and intellect""",in special recognition of his poetic composition which gives evidence of lofty idealism artistic perfection and a rare combination of the qualities of both heart and intellect
chemistry,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions""",in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions
chemistry,"""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses""",in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses
literature,"""the greatest living master of the art of historical writing with special reference to his monumental work <I>A history of Rome</I>""",the greatest living master of the art of historical writing with special reference to his monumental work ia history of romei
peace,"""for his eminently practical administration of the Inter-Parliamentary Union""",for his eminently practical administration of the interparliamentary union
peace,"""for his untiring and skilful directorship of the Bern Peace Bureau""",for his untiring and skilful directorship of the bern peace bureau
physics,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena
medicine,"""for his work on malaria by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it""",for his work on malaria by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it
physics,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena
physics,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by professor henri becquerel
peace,"""for his longstanding and devoted effort in favour of the ideas of peace and arbitration""",for his longstanding and devoted effort in favour of the ideas of peace and arbitration
physics,"""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity""",in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity
physics,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by professor henri becquerel
chemistry,"""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium by the isolation of radium and the study of the nature and compounds of this remarkable element""",in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium by the isolation of radium and the study of the nature and compounds of this remarkable element
medicine,"""in recognition of his contribution to the treatment of diseases especially lupus vulgaris with concentrated light radiation whereby he has opened a new avenue for medical science""",in recognition of his contribution to the treatment of diseases especially lupus vulgaris with concentrated light radiation whereby he has opened a new avenue for medical science
literature,"""as a tribute to his noble magnificent and versatile poetry which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit""",as a tribute to his noble magnificent and versatile poetry which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit
chemistry,"""in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation""",in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation
literature,"""in recognition of the numerous and brilliant compositions which in an individual and original manner have revived the great traditions of the Spanish drama""",in recognition of the numerous and brilliant compositions which in an individual and original manner have revived the great traditions of the spanish drama
physics,"""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies""",for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies
peace,"""for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane""",for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane
